review_id,food_sentiment,service_sentiment,overall
11,"กะเพรากั้ง (300B) กั้งตัวกลางๆ เมื่อก่อนกินแบบราดข้าวชอบความแห้งๆ ครั้งนี้สั่งเป็นกับข้าวบ้างค่ะ กั้งสด ตัวกลางๆค่ะ ครั้งนี้จะไม่เผ็ดร้อนมาก เมื่อก่อนจะพริกขี้หนูสวนหอมๆ เลย แค่รสชาติดีค่ะ ทะเลผัดกระเทียม (300B) ชอบจานนี้มากค่ะ 
ทะเลรวมก็มี หอยเชลล์ กุ้ง ปลาหมึก ปู กั้ง เขาผัดมานัวๆ ดีค่ะ หอมกระเทียม ของทะเลสด ต้มยำปลา กุ้ง ปลาหมึก (200B) เป็นต้มยำน้ำใส ทะเลเต็มชามเหมือนเดิมค่ะ เปรี้ยวๆ หอมมะนาว 
ชอบวัตถุดิบของเขาค่ะ สดดี แล้วรสชาติเผ็ดร้อนดี (แม้วันนี้จะเผ็ดร้อนน้อยลง) ถ้าเทียบชอบกินแบบราดข้าวมากกว่า","เราผู้ไม่พกเงินสดมาตั้งแต่โควิด คิดว่าทุกร้านเดี๋ยวนี้เค้ารับโอนหรือสแกนจ่ายได้หมดล่ะ
เจอร้านป้า ‘รับเฉพาะเงินสด’ ผมนี่ลุกออกจากร้านเลย ลุกไปหาตู้กดตังค์สิครับ จากร้านมีตู้กรุงไทย กับ กสิกร ใกล้สุดเดินได้ไม่ถึง 7 นาที",Neutral
12,"เมนูผัดฉ่าอร่อยมาก ผัดหอมเครื่องสมุนไพรและพริกสด คลุกเคล้าหอยเชลตัวโตๆสดๆ ราดบนข้าวหอมมะลิร้อนๆ เติมน้ำปลาพริกขี้หนูซอย และทานคู่กับต้นหอมที่ทางร้านมีไว้ให้แกล้ม คือสุดยอดความอร่อยง่ายๆที่ลงตัว
ปูผัดพริกเผา ใช้เนื้อปูส่วนก้าม ผัดพริกเผาและต้นหอมสด คั่วพริกเผารสชาติมีความหวานและเค็มนิดๆ จานนี้อร่อยดีเช่นกัน",ที่จอดรถจำกัด ซอยค่อนข้างแคบ มาวันธรรมดาน่าจะดีกว่าวันหยุด มือใหม่ถึงร้านไปแจ้งชื่อ จำนวนคนเพื่อลงคิว ดูเมนูเพื่อสั่งไว้เลย บางคนไม่รู้มานั่งต่อแถวเฉยๆ ไม่ได้คิว รอเก้อนะ,Positive
13,วันนี้ แวะมาจัดแบบด่วนๆ กะเพรากั้งราดข้าว ราคา 100 บาท กั้งสดๆ รสชาติดี กินคู่กับต้นหอม อร่อยเหมือนเดิม ,ที่จอดรถ มีที่จอดตรงศาลเจ้าหน้าร้านค่ะ หรือจะจอดแปะในซอยข้างๆแล้วเดินมาก้อได้ค่ะ,Positive
14,"ยำโคตรแซ่บ แซลม่อนเด้งสู้ฟันสุด อร่อยมากค่า ใครสนใจมาลองได้นะคะรับรองไม่ผิดหวัง


",ซอยเข้ามาร้านก็จะลึกลับหน่อย มีที่จอดรถบริเวณหน้าร้านได้ประมาณ 10 คันครับ ลักษณะเป็นตัวบ้าน 2 ชั้น จัดพื้นที่สำหรับโต๊ะนั่งมีอยู่ประมาณ 10 โต๊ะเท่านั้นเอง ตอนนี้ใครมาถึงร้านก็จดออเดอร์รอไว้ได้เลยครับ วันนี้ผมมารอประมาณชั่วโมงครึ่งกว่าจะได้ทาน,Positive
15,"กะเพรารวมราดข้าว 150.- รวมทะเลใดๆ คำแรกรสอ่อนแต่ทานไปก็จัดจ้านขึ้นมาเฉย
กะเพราหอยเชลล์ 100.- หอยเยอะมาก สดเด้ง พริกซอยมาเยอะ รสจัดพอประมาณ
กั้งทอดกระเทียม 300.- สด เยอะ รสใช้ได้",ป้าอ่อน​ ซอยก๊วน​ ขับรถเข้ามาในซอยแล้วเห็นศาลเจ้าแล้วก็หาร้านไม่ยาก​ แต่ถ้าไปวันที่ลูกค้าเยอะ​ รถจะจอดกันแน่นหน่อย​ รอคิวประมาณ15นาทีได้โต๊ะ​ เพราะโต๊ะมีไม่เยอะ​ แต่ก็สมกับการรอคอย​ หอยเชลล์&กั้งผัดกระเทียม​ อร่อยและสดมาก​ อาหารร้านนี้ไม่แพงถ้าเทียบกับคุณภาพความสดและปริมาณ ,Positive
16,"คุ้มค่ามากที่มาร้านนี้ โดดเด่นที่วัตถุดิบ รสชาติดี แล้วก็เข้าถึงง่ายๆ ไม่มีอะไรยุ่งยากเลย ราคาสมเหตุสมผลครับ วัตถุดิบดีจริงๆ เนื้อปูคือหวาน สด กั้งก็ยังฉ่ำ ไม่กระด้าง 
กำลังดีครับยกนิ้วเชยชม สมใจอยาก",ร้านนี้เป็นร้าน local เล็กๆในเมืองที่คุณภาพไม่ได้เล็กตามไปด้วย กับแต่ละเมนูที่เอาของทะเลต่างๆมาปรุงรสได้ดีงาม แต่ละจานอัดแน่นเครื่องมากๆ อร่อยและคุ้มสุดๆเลยครับ ,Positive
17,"สั่งใส่กล่อง ไปซื้อในช่วงที่มี 4-5 ออเดอร์ (เป็นสาเหตุความไม่อร่อยรึป่าวหรือฝีมือตก)
เราสั่ง 2 เมนู กระเพราปูราดข้าว จานนี้ผิดหวังผัดใบกระเพรายังไม่สุก ทำให้เหม็นเขียวใบกระเพรามากๆ ยิ่ง ใส่กล่องปิดฝา เปิดมานี้เหม็นเขียวมาก ผิดหวังเลยเมนูนี้
อีกเมนู คือ รวมทะเลกระเทียมราดข้าว เครื่องแน่น ของสดแต่รสชาติ มันผัดแบบเร็วเกินไป รสชาติไม่เข้าเนื้อเลยและรสชาติกระเทียมพริกไทยก็อ่อนปวกเปียกเลยไม่อร่อยเลยมารอบนี้ผิดหวัง",ตอนไปถึงร้านยังไม่มีลูกค้าเลยแต่เชื่อว่าช่วงเที่ยงๆคนคงมานั่งกันเต็มร้าน วันนี้โชคดีมากขออนุญาติถ่ายภาพครัวได้ด้วย(น่ารักที่สุด) ซึ่งผมก็ถ่ายแบบไม่ไปรบกวนหรือหละหลวมมาตรการป้องกันโควิดนะ(งดดร่าม่าค่ะ) เอาเป็นว่ามาถึงร้านทั้งทีก็ของสั่งเมนูแนะนำทานที่ร้านแบบฟินๆละกัน ร้านมีน้ำแข็งให้ฟรีมีน้ำชาในเหยือกบนโต๊ะสำหรับลูกค้า และที่ไม่เหมือนร้านอื่นคือ เครื่องเคียงอาหารร้านนี้คือต้นหอมกับพริกน้ำปลา ,Negative
18,รสชาติอาหารกลางๆ อร่อยใช้ได้ค่ะ แต่ที่ประทับใจมากๆคือวัตถุดิบต่างๆที่นำมาประกอบอาหาร สดและชิ้นใหญ่ คุณภาพเกินราคา ดีงามที่สุด แอบอึ้งอีกนิด ทางร้านให้ผักแนมเป็นต้นหอม เยอะมาก เอาออกจากตู้เย็นดูสดใหม่ แต่เรากินไม่เป็น คนชอบกินกินคู่กับอาหารคงฟินน่าดู ,"ไปช่วงร้านเกือบจะปิดแล้วในวันธรรมดา ที่จอดรถค่อนข้างหายาก ต้องจอดซ้อนๆคันกันหน้าศาลฝั่งตรงข้ามร้าน
 ",Positive
19,"ข้าวผัดปู (100 บาท)ความชื่นชอบของเมนูนี้แน่นอนคงเป็นในเรื่องของการใช้ไฟ ผัดมาได้กลิ่นหอมของกระทะ เนื้อปูสด ๆ เป็นปูส่วนก้ามแน่นอนว่าจะได้กลิ่นและรสชาติที่ผมชื่นชอบ เมนูนี้ถือว่าชอบครับ
ข้าวกั้ง+ปูทอดกระเทียม (150 บาท)ทีเด็ดจานนี้คือความสดของเนื้อปู และกั้งความ มีความหอมและกลิ่นที่มีเอกลักษณ์เฉพาะ ร้านทั่ว ๆ ไปทำมาจะไม่ได้รสชาติอย่างนี้ โปรดที่สุดของวันนี้ครับ
ข้าวผัดกะเพราหอยเชลล์ (100 บาท)ความสดของวัตถุดิบยังมาเป็นอันดับหนึ่ง แต่ส่วนตัวคิดว่าหอยเชลล์นี้น่าจะเหมาะกับการนำไปทอดกระเทียมมากกว่า รสชาติในความเป็นผัดกะเพรายังไม่โดดเด่น แต่ความสดเด้งของหอยเชลล์นี้ชอบมาก",-,Positive
20,กั้งหอยเชลล์ผัดกระเพรา 150 บาท ราดข้าวสวยร้อนๆ มาเลยจ้า กลิ่นหอมฉุดเผ็ดไม่มากแต่รสกลมกล่อมจัดจ้านดีมากๆ กั้งเนื้อแน่นอร่อย หอยเชลล์ตัวตัวเนื้อนุ่มอร่อยมาก หอยเชลล์ดีมากๆกั้งหอยเชลล์กระเทียม ทอดกระเทียมก็อร่อยไม่แพ้ผัดกระเพราะกั้งและหอยเชลล์สดมาก เข้ากันอร่อยลวตัวรสชาติดีเลย ,-,Positive
21,อร่อยถูกปากมาก ด้วยความที่วัตถุดิบสดใหม่สะอาด ทำให้แม้ไม่ใส่พริกน้ำปลาก็อร่อยแล้ว แต่ตักเอาพริกในพริกน้ำปลามากินพร้อมหยิบต้นหอมมาเคี้ยวตามด้วยคือแบบ โอ้วคุณพระช่วย นิพพานเอวังอลังการ ถ้าอยากอาหารตามสั่งที่ไม่ธรรมดา ให้มาที่ร้านนี้เลยครับ ,-,Positive
22,"กั้งหอยเชลล์ทอดกระเทียม (300฿)
- อยากลองทานทั้งกั้งและหอยเชลล์ แต่หน้าตาออกมาไม่เหมือนของรีวิวท่านอื่น ผัดออกมาค่อนข้างแฉะไม่มีกระเทียมเจียวกรอบๆโรย กั้งสดดี หอยเชลล์สดดี ตัวน้ำที่ผัดปรุงมาออกเค็มหนัก
ปลาเห็ดโคนทอดน้ำปลา (300฿)
- เห็นเป็นเมนูแนะนำเลยลองสั่งมา ใช้เวลาทอดไวจนตกใจ ปลาทอดอมน้ำมันมาก แข็งและเหนียวมาก รสออกเค็มๆ จานนี้กินได้ไม่กี่คำต้องทิ้งทั้งจาน
ข้าวกระเพราปู (100฿)
- เนื้อปริมาณโอเคสมราคา กระเพรารสค่อนข้างเผ็ดโดด มีแต่รสเผ็ดนำ
ส่วนตัวผิดหวังกับรสชาติอาหารมาก ราคาค่อนข้างแพงถ้าสั่งแบบเป็นกับข้าว แนะนำให้สั่งแบบราดข้าวคงคุ้มมากกว่",-,Negative
23,สั่งกระเพรารวม ผัดฉ่ารวม และ ปลาเนื้ออ่อนทอดน้ำปลา ทุกอย่างรสกลมกล่อม อาหารสด เราชอบหอยเชลล์มากมันสด แบบที่เราหาร้านอื่นไม่ได้ พวกกุ้งปลาหมึกอะหาได้ แต่หอยเชลล์ยังไม่เคยกินแล้วได้สัมปัสแบบนี้ ปลาเนื้ออ่อนไม่คาวแต่เราว่ามันด้านไปแต่รสชาติดีนะและตัวเนื้อสัมผัสไม่กระด้าง ส่วนราคาอะแรงเลยแหละ ทั่งหมดนี่600พอดี้ กับข้าว300ราดข้าว150 ,ถ้ามาร้านนี้ต้องมาเร็วๆเพราะที่จอดลำบาก ซึ่งขนาดๆเช้า9โมง ที่จอดเหลือที่สุดท้ายต้องจอดหน้าศาลเจ้า ที่จอดซอยแคบมากกๆ เข้าออกได้2ทางจะวันเวย์ก็ไม่ใช่เพราะมันได้ทั้งเข้าละออกแล้วมาเจอร้านป้าตรงกลาง แนะนำจอดด้านนอกแล้วเดินมา โต๊ะที่ร้านมีแค่6โต๊ะได้ ,Positive
24,"กั้งทอดกระเทียม 300.- เมนูยอดนิยมของที่ร้าน ใช้กั้งตัวเล็กแกะเปลือก ทอดกระเทียมหอม ๆ คลุกข้าวอร่อย
แกงป่าปลาเห็ดโคน 300.- มาชลบุรีไม่กินแกงป่านี่มาไม่ถึง ปลาเห็ดโคนแล่ไม่มีมีก้าง เนื้อปลาสด ๆ ยอดมะพร้าวหวาน เผ็ดร้อนเครื่องแกงสมุนไพร เหงื่อท่วมเสมือนไปอาบน้ำตามเอกลักษณ์แกงป่าภาคตะวันออก นี่คือระดับเผ็ดน้อยแล้ว แต่อร่อยจริง
ไข่เจียวกุ้ง 100.- มาตรฐานอาหารแก้เผ็ด กุ้งสด เนื้อเด้งตามมาตรฐาน ",-,Positive
25,กั้งกระเทียม ราดข้าวมากรุบๆ จานละ 100 บาท มีกั้งตัวพอดีๆ ทั้งหมด5ตัวในจาน นอกจากนี้ก็สั่งผัดกะเพรารวมทะเล เป็นกับข้าวจานละ 300 บาท กุ้ง กั้ง ปลาหมึก หอยเชลล์คือดี แต่เนื้อปูเล็กไปหน่อย ข้าวแอบแข็ง กะเพราเผ็ดมากกกกก ถ้าใครกินเผ็ดมากไม่ได้ควรบอกว่าเอาไม่เผ็ดเด้อ ,-,Positive
26,"ข้าวราดกระเพรากั้งหอยเชลล์ รสชาติถึงเครื่องมาก เผ็ดซี้ดดดดดดดดด ทานเผ็ดไม่ได้ต้องแจ้งก่อนนะคะ
ข้าวราดปลาผัดขึ้นฉ่าย ปลาสด เนื้อปลาหวาน ",-,Positive
27,"เมนูเด็ดนะเป็นเมนูที่ทำจากกั้ง รวมๆถือว่ารสชาติโอเค แต่ไม่ถึงกับอร่อยมาก ถ้าเทียบกับราคาถือว่าแพงราคา : 4/5 
คุณภาพ : 5/5 ความอร่อย : 4/5 ความสะอาด : 5/5 ความเร็ว : 5/5 บริการ : 5/5
สถานที่ : 3/5 ความคุ้มค่า : 4/5",ร้านตั้งอยู่ในซอยก๊วนตรงข้ามศาลเจ้า ทางเข้าแคบพอสมควร ถ้ามาช่วงที่คนเยอะๆ ที่จอดรถหายาก ต้องวนหาหลายรอบ ,Positive
28,"แกงป่าปลาเห็ดโคน (300 บาท) - รสชาติจัดจ้าน ปลาสด ไม่คาว อร่อยค่ะ
กั้งทอดกระเทียม (300 บาท) - ผัดแบบแฉะๆ นิดนึง ไม่ใช่แนวกระเทียมกรอบ อร่อยดี กั้งสดดี หนักเค็มหน่อย
ปลาหมึกผัดผงกะหรี่ (200 บาท) - อันนี้เฉยๆ จืดนิด
กระเพราหมูกรอบ (100 บาท) - อร่อยค่ะ เผ็ดจัดจ้าน หมูกรอบกรอบดี
ข้าวผัดปู (400 บาท) - จานใหญ่ ทาน 4 คนไม่หมด เนื้อปูให้เยอะมาก รสชาติดี ข้าวผัดแห้งๆ มีกลิ่นไหม้ๆ ติดกระทะพอหอม",จอดรถแถวหน้าศาลได้ แต่ที่จอดจำกัดหน่อย ,Positive
29,"คิดว่าเมื่อก่อนต้องเคยอร่อยมาก ไม่ใช่ตอนนี้ไม่อร่อยนะ แต่รับรู้ได้ว่าเคยอร่อยกว่านี้แน่ๆ
และผงชูรสเยอะมากจ้า ใจสั่น ปากเปื่อยเลยเมนูแนะนำ ปลาเห็ดโคนทอดน้ำปลา, ต้มยำปลา
อร่อยใช้ได้ แต่กระเพราปู ปูมันเนื้อไม่แน่นสำหรับผม ผมยังไม่ชอบมากขนาดนั้น ",-,Neutral
30,สั่งเป็นแบบราดข้าว จานละ 150 บาท แม้วัตถุดิบดี แต่ก็ยังพูดได้ว่าราคาค่อนข้างสูง อาจไม่ได้สูงมากจนน่าเกลียด แต่เมื่อเทียบกับปริมาณ สถานที่ ก็ขอบอกว่าราคาค่อนข้างสูงสำหรับเรานะ ยิ่งสั่งเป็นกับข้าวก็ยิ่งสูง แล้วรสชาติสำหรับเรา ยังอ่อนไป ยกเว้นความเผ็ด อันนี้เกินไปมากเลย ถ้ามีโอกาสได้มากินอีกก็จะมาอีก แต่ถ้าให้ตั้งหน้าตั้งตามากิน ก็ขอคิดดูก่อนเนอะ ,เราไปช่วงเกือบๆบ่ายแล้ว คนไม่เยอะนะ ตอนไปถึง เดินไปได้โต๊ะเลย ไม่ต้องรอ แต่นั่งสักพักคนเยอะ ต้องนั่งรอคิวนอกร้าน ตัวร้านไม่ใหญ่มากนะ เป็นบ้านคนธรรมดานี่แหละ โต๊ะในร้านก็ไม่ค่อยเยอะ จัดเว้นพอประมาณ ไม่ได้ห่างมาก เดินเบียดนิดหน่อย สั่งอาหารไป 2 จาน รอไม่นานเลย ไม่น่าจะถึง 5 นาทีด้วยซ้ำ ,Neutral
31,วันนี้ รสชาติเหมือนเดิมเลย ปูสดดี แต่กั้งไม่ค่อยสดเหมือนเดิม ,"มาถึงร้านเที่ยงนิดๆวันเสาร์ มีคิวก่อนหน้าสามคิว รอไม่นานมากค่ะ เคยมาช่วงก่อนโควิทรอเกือบ 1 ชั่วโมงเลย
ระหว่างรอคิว เค้าจะมารับออเดอร์ไว้ก่อนค่ะ ",Neutral
32,"ร้านนี้มีดีที่วัตถุดิบที่สดใหม่ และการปรุงที่ทำแบบไม่ให้เสียรสสัมผัส ส่วนด้านรสชาติยังธรรมดาๆไปหน่อย หาทานได้ทั่วไป ด้านราคา,ความคุ้มค่าสั่งเป็นกับข้าวราคาจานละ 300 บาทก็ถือว่าไม่ถูก เพราะไม่ได้ใช้วัตถุดิบราคาแพงอย่างเนื้อปูไม่ได้ใช้ส่วนกรรเชียงปู ",มาถึงร้านตอน 11 โมงโต๊ะเต็มร้านไม่ใหญ่มีโต๊ะบริการ 7 ตัวรอไม่นานประมาณ 20 นาที ,Neutral
33,โดยรวมยังไม่ค่อยประทับใจเท่าไหร่ เพราะรสยังไม่ค่อยเข้มข้น แต่ดีตรงราคาโอเค เครื่องให้เยอะใช้ได้ค่ะ,ทางเข้าออกค่อนข้างแคบหน่อย มีที่จอดรถแถวๆศาลเจ้าพอประมาณค่ะ ,Negative
34,"1. กั้งทอดกระเทียม ราคา 300 บาท: สั่งเป็นแบบกับข้าวมา ปริมาณค่อนข้างเยอะเลยครับ ค่อนข้างชอบเพราะว่าของร้านนี้จะแกะมาให้เรียบร้อย และแกะได้สวยงาม ทางร้านใช้กระเทียมดับกลิ่นคาวได้ค่อนข้างเยอะอยู่ครับ รสชาติออกเค็มๆมันๆ ถ้าทานเยอะๆก็จะออกเลี่ยนๆหน่อยๆ
2. กระเพรารวม ราคา 300 บาท: จัดเต็มทั้งหมึก กุ้ง กั้ง เนื้อปู รสชาติจัดจ้าน เผ็ดกลางๆ กระเพรามาเต็ม ออกเค็มๆ กำลังดี ทานกับข้าวสวยอร่อยมากครับ
3. ต้มยำหมึกปลาน้ำข้น ราคา 200 บาท: เป็นน้ำข้นแบบไม่ใส่นมครับ รสชาติออกเผ็ดและเปรี้ยวกำลังดี เนื้อปลาแอบคาวนิดๆ แต่รับได้ครับ น่าจะเป็นปลาเก๋า ส่วนปลาหมึกชิ้นโต หนึบๆไม่เหนียว
โดยรวมแล้วถือว่ารสชาติอาหารอร่อยเลยครับ คุ้มกับการแวะมาเลยครับ ส่วนการบริการค่อนข้างดีเลยครับ ทำอาหารไวและเสิร์ฟไว แนะนำเมนูอาหารได้ดีเลยครับ ",เนื่องจากลูกค้ามีเยอะมาก ทางร้านเลยมีการจ้างคนมาช่วย ทำให้ทำอาหารได้เร็วขึ้น ไม่ต้องรอนานเป็นชาติเหมือนเมื่อก่อนแล้ว ,Positive
